parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sdE[94],0.233,0.044,0.154,0.316,0.001,0.0,5483.0,2465.0,1.0
sdE[95],0.232,0.044,0.155,0.316,0.001,0.001,4870.0,2735.0,1.0
sdE[96],0.092,0.024,0.055,0.137,0.0,0.0,4385.0,3126.0,1.0
sdE[97],0.252,0.045,0.175,0.336,0.001,0.001,4871.0,2767.0,1.0
sdE[98],0.263,0.046,0.183,0.347,0.001,0.0,5701.0,3031.0,1.0
sdE[99],0.169,0.039,0.1,0.24,0.001,0.0,4027.0,3143.0,1.0
sdE[100],0.258,0.045,0.177,0.34,0.001,0.0,5903.0,3021.0,1.0
sdE[101],0.224,0.041,0.151,0.301,0.001,0.0,5684.0,2822.0,1.0
sdE[102],0.196,0.041,0.125,0.271,0.001,0.001,3992.0,2383.0,1.0
sdE[103],0.073,0.02,0.042,0.108,0.0,0.0,4348.0,2875.0,1.0
sdE[104],0.276,0.046,0.194,0.364,0.001,0.0,5960.0,3115.0,1.0
sdE[105],0.23,0.044,0.148,0.309,0.001,0.0,4662.0,3233.0,1.0
sdE[106],0.227,0.045,0.149,0.314,0.001,0.001,5003.0,2517.0,1.0
sdE[107],0.135,0.032,0.083,0.196,0.001,0.0,4236.0,3059.0,1.0
sdE[108],0.162,0.036,0.102,0.231,0.001,0.0,5305.0,2933.0,1.0
sdE[109],0.211,0.042,0.144,0.293,0.001,0.0,4980.0,3078.0,1.0
sdE[110],0.333,0.048,0.25,0.426,0.001,0.0,7105.0,3045.0,1.0
sdE[111],0.321,0.05,0.232,0.414,0.001,0.001,4940.0,3388.0,1.0
sdE[112],0.172,0.038,0.107,0.242,0.001,0.0,4583.0,3175.0,1.0
sdE[113],0.112,0.029,0.065,0.163,0.0,0.0,4283.0,3128.0,1.0
sdE[114],0.3,0.046,0.219,0.389,0.001,0.0,5342.0,3061.0,1.0
sdE[115],0.181,0.039,0.117,0.26,0.001,0.0,4914.0,2670.0,1.0
sdE[116],0.177,0.038,0.115,0.247,0.001,0.0,5633.0,3185.0,1.0
sdE[117],0.184,0.039,0.116,0.255,0.001,0.0,4807.0,2587.0,1.0
sdE[118],0.183,0.041,0.114,0.259,0.001,0.0,5168.0,3043.0,1.0
sdE[119],0.172,0.038,0.11,0.245,0.001,0.0,4708.0,2813.0,1.0
sdE[120],0.281,0.046,0.197,0.367,0.001,0.0,4814.0,2837.0,1.0
sdE[121],0.127,0.031,0.075,0.186,0.001,0.0,4047.0,3008.0,1.0
sdE[122],0.148,0.035,0.092,0.215,0.001,0.0,4553.0,3284.0,1.0
sdE[123],0.356,0.049,0.265,0.445,0.001,0.0,6264.0,3423.0,1.0
sdE[124],0.162,0.036,0.105,0.235,0.001,0.0,4940.0,2635.0,1.0
sdE[125],0.173,0.037,0.112,0.242,0.001,0.0,4174.0,3001.0,1.0
sdE[126],0.321,0.05,0.237,0.416,0.001,0.001,6062.0,3000.0,1.0
sdE[127],0.072,0.02,0.042,0.108,0.0,0.0,2997.0,2258.0,1.0
sdE[128],0.286,0.047,0.204,0.374,0.001,0.0,5108.0,2497.0,1.0
sdE[129],0.195,0.042,0.119,0.27,0.001,0.001,4375.0,2615.0,1.0
sdE[130],0.263,0.045,0.185,0.346,0.001,0.0,6065.0,2785.0,1.0
sdE[131],0.253,0.046,0.167,0.336,0.001,0.001,4599.0,2845.0,1.0
sdE[132],0.157,0.035,0.099,0.225,0.001,0.0,4183.0,2573.0,1.0
sdE[133],0.291,0.046,0.212,0.382,0.001,0.0,6382.0,3187.0,1.0
sdE[134],0.153,0.036,0.092,0.218,0.001,0.001,3633.0,2644.0,1.0
sdE[135],0.312,0.049,0.224,0.403,0.001,0.001,4622.0,3215.0,1.0
sdE[136],0.222,0.044,0.15,0.304,0.001,0.0,5590.0,2915.0,1.0
sdE[137],0.33,0.048,0.243,0.417,0.001,0.0,5347.0,3216.0,1.0
sdE[138],0.164,0.037,0.104,0.236,0.001,0.0,4414.0,2762.0,1.0
sdE[139],0.202,0.041,0.129,0.276,0.001,0.0,4445.0,2909.0,1.0
sdE[140],0.169,0.039,0.104,0.241,0.001,0.0,4647.0,2600.0,1.0
sdE[141],0.372,0.049,0.282,0.462,0.001,0.0,5308.0,2989.0,1.0
sdE[142],0.285,0.046,0.208,0.376,0.001,0.0,5460.0,2701.0,1.0
